Retrieving instances with type service_instance in resource group rusty in all locations under account Venus as sharon.dagan@il.ibm.com...
OK
ID                                                                                                                           GUID                                                                                                                         Name             Location   State    Type               Resource ID   
crn:v1:bluemix:public:is:eu-gb-2:a/f13648d1c3e97881258c83dacc5d3586::floating-ip:r018-0a1305df-2892-4945-b603-2a45271ce83d   crn:v1:bluemix:public:is:eu-gb-2:a/f13648d1c3e97881258c83dacc5d3586::floating-ip:r018-0a1305df-2892-4945-b603-2a45271ce83d   141.125.108.24   eu-gb-2    active   service_instance   is.floating-ip   
crn:v1:bluemix:public:is:eu-gb-1:a/f13648d1c3e97881258c83dacc5d3586::floating-ip:r018-8b5a61a6-d7f2-4c96-9a3c-b38fb9d438b6   crn:v1:bluemix:public:is:eu-gb-1:a/f13648d1c3e97881258c83dacc5d3586::floating-ip:r018-8b5a61a6-d7f2-4c96-9a3c-b38fb9d438b6   158.175.180.3    eu-gb-1    active   service_instance   is.floating-ip   
crn:v1:bluemix:public:is:eu-gb-2:a/f13648d1c3e97881258c83dacc5d3586::floating-ip:r018-6fd71839-e333-4cce-b796-355be729a9f7   crn:v1:bluemix:public:is:eu-gb-2:a/f13648d1c3e97881258c83dacc5d3586::floating-ip:r018-6fd71839-e333-4cce-b796-355be729a9f7   141.125.110.18   eu-gb-2    active   service_instance   is.floating-ip   
crn:v1:bluemix:public:is:eu-gb-2:a/f13648d1c3e97881258c83dacc5d3586::floating-ip:r018-438f2a2f-f804-4bfa-a894-779bcd9cee2f   crn:v1:bluemix:public:is:eu-gb-2:a/f13648d1c3e97881258c83dacc5d3586::floating-ip:r018-438f2a2f-f804-4bfa-a894-779bcd9cee2f   141.125.110.18   eu-gb-2    active   service_instance   is.floating-ip   
crn:v1:bluemix:public:is:eu-gb-2:a/f13648d1c3e97881258c83dacc5d3586::floating-ip:r018-3ed56603-66a1-4d33-8adc-84042fa1019b   crn:v1:bluemix:public:is:eu-gb-2:a/f13648d1c3e97881258c83dacc5d3586::floating-ip:r018-3ed56603-66a1-4d33-8adc-84042fa1019b   141.125.106.9    eu-gb-2    active   service_instance   is.floating-ip   
crn:v1:bluemix:public:is:eu-gb-2:a/f13648d1c3e97881258c83dacc5d3586::floating-ip:r018-12cbbc7f-b3a3-4311-8481-24b815cb909f   crn:v1:bluemix:public:is:eu-gb-2:a/f13648d1c3e97881258c83dacc5d3586::floating-ip:r018-12cbbc7f-b3a3-4311-8481-24b815cb909f   141.125.104.22   eu-gb-2    active   service_instance   is.floating-ip   
crn:v1:bluemix:public:is:eu-gb-2:a/f13648d1c3e97881258c83dacc5d3586::floating-ip:r018-3da05911-0d6b-4182-8775-23d9df200d8c   crn:v1:bluemix:public:is:eu-gb-2:a/f13648d1c3e97881258c83dacc5d3586::floating-ip:r018-3da05911-0d6b-4182-8775-23d9df200d8c   141.125.108.8    eu-gb-2    active   service_instance   is.floating-ip   
crn:v1:bluemix:public:is:eu-gb-1:a/f13648d1c3e97881258c83dacc5d3586::floating-ip:r018-50689293-cc0e-410f-ba54-30a3e49eb00a   crn:v1:bluemix:public:is:eu-gb-1:a/f13648d1c3e97881258c83dacc5d3586::floating-ip:r018-50689293-cc0e-410f-ba54-30a3e49eb00a   158.175.188.19   eu-gb-1    active   service_instance   is.floating-ip   
crn:v1:bluemix:public:is:eu-gb-2:a/f13648d1c3e97881258c83dacc5d3586::floating-ip:r018-65fc28e8-8765-46ef-8850-b315fa815496   crn:v1:bluemix:public:is:eu-gb-2:a/f13648d1c3e97881258c83dacc5d3586::floating-ip:r018-65fc28e8-8765-46ef-8850-b315fa815496   141.125.108.8    eu-gb-2    active   service_instance   is.floating-ip   
crn:v1:bluemix:public:is:eu-gb-1:a/f13648d1c3e97881258c83dacc5d3586::floating-ip:r018-07269bcf-f9b3-4948-b32b-7e48297652f5   crn:v1:bluemix:public:is:eu-gb-1:a/f13648d1c3e97881258c83dacc5d3586::floating-ip:r018-07269bcf-f9b3-4948-b32b-7e48297652f5   158.175.180.21   eu-gb-1    active   service_instance   is.floating-ip   
